price,location,house_type,rooms,bathrooms,rent_duration,estate name,condition,furnishing,facilities,area,dishwasher,prepaid_meter,dinning_area,air_conditioning,chandelier,state,estate
3700000,"lagos, lekki, ikota",Duplex,4,4,per annum,ikota gra estate,Fairly Used,Unfurnished,"hot water,kitchen cabinets,pop ceiling,tiled floor,kitchen shelf,dining area,wardrobe,balcony",urban,no,no,yes,no,no,lagos,yes
1800000,"lagos, ajah",Duplex,4,5,per annum,unity estate,Newly Built,Semi-Furnished,"dining area,pop ceiling,pre paid meter,chandelier,kitchen cabinets,tiled floor,dishwasher,hot water,wardrobe,microwave,kitchen shelf,balcony,apartment",semi_urban,yes,yes,yes,no,yes,lagos,yes
1200000,"lagos, ibeju, awoyaya",Duplex,4,4,per annum,awoyaya ajah by new roads,Newly Built,Furnished,"balcony,air conditioning,chandelier,dining area,24 hours electricity,hot water,dishwasher",semi_urban,yes,no,yes,yes,yes,lagos,no
400000,"lagos, ikorodu",Bungalow,4,5,per annum,unknown,Newly Built,Furnished,none,rural,no,no,no,no,no,lagos,no
3000000,"lagos, lekki",Duplex,4,5,per annum,unknown,Fairly Used,Unfurnished,none,urban,no,no,no,no,no,lagos,no
2000000,"lagos, lekki",Duplex,4,5,per annum,unknown,Newly Built,Furnished,none,urban,no,no,no,no,no,lagos,no
2500000,"abuja, jahi",Duplex,4,4,per annum,unknown,Renovated,Unfurnished,"balcony,chandelier,dining area,hot water,kitchen cabinets,kitchen shelf,pop ceiling,pre paid meter,tiled floor,wardrobe",semi_urban,no,yes,yes,no,yes,abuja,no
3500000,"lagos, lekki",House,4,5,per annum,unknown,Newly Built,Semi-Furnished,"hot water,microwave",urban,no,no,no,no,no,lagos,no
800000,"enugu, enugu / enugu state",Bungalow,4,4,per annum,unknown,Fairly Used,Semi-Furnished,"dining area,dishwasher,hot water,kitchen cabinets,balcony,kitchen shelf",semi_urban,yes,no,yes,no,no,enugu,no
1900000,"lagos, lekki",House,4,4,per annum,unknown,Fairly Used,Furnished,none,urban,no,no,no,no,no,lagos,no
1500000,"lagos, ajah",Duplex,4,4,per annum,unknown,Newly Built,Furnished,none,semi_urban,no,no,no,no,no,lagos,no
5500000,106,Duplex,5,5,per annum,naf base harmony estate,Newly Built,Unfurnished,"hot water,dishwasher,pre paid meter,dining area,balcony,kitchen shelf,wardrobe,kitchen cabinets,24 hours electricity,tiled floor,pop ceiling",rural,yes,yes,yes,no,no,none,yes
2500000,"rivers, port-harcourt",Duplex,4,5,per annum,back of nta port harcourt,Fairly Used,Semi-Furnished,"kitchen cabinets,pop ceiling,chandelier,kitchen shelf,wardrobe,tiled floor,dishwasher,24 hours electricity,pre paid meter,balcony,dining area,hot water",rural,yes,yes,yes,no,yes,rivers,no
3000000,"rivers, port-harcourt",Duplex,4,5,per annum,francis estate,Newly Built,Furnished,"dishwasher,dining area,pre paid meter,air conditioning,pop ceiling,24 hours electricity,kitchen shelf,tiled floor,wardrobe,balcony,kitchen cabinets,hot water",rural,yes,yes,yes,yes,no,rivers,yes
3500000,"rivers, port-harcourt",Duplex,4,4,per annum,unknown,Newly Built,Furnished,none,rural,no,no,no,no,no,rivers,no
1600000,"rivers, port-harcourt",Duplex,5,5,per annum,unknown,Newly Built,Furnished,none,rural,no,no,no,no,no,rivers,no
2500000,"rivers, port-harcourt",Duplex,4,5,per annum,unknown,Newly Built,Furnished,none,rural,no,no,no,no,no,rivers,no
3000000,"rivers, port-harcourt",Duplex,4,5,per annum,unknown,Newly Built,Semi-Furnished,none,rural,no,no,no,no,no,rivers,no
10000000,"rivers, port-harcourt",Duplex,4,5,per annum,bomari estate,Newly Built,Furnished,"dishwasher,chandelier,kitchen cabinets,wardrobe,microwave,hot water,kitchen shelf,pop ceiling,dining area,24 hours electricity,refrigerator,tiled floor,tv",rural,yes,no,yes,no,yes,rivers,yes
4000000,"rivers, port-harcourt",Duplex,4,5,per annum,unknown,Newly Built,Furnished,"refrigerator,hot water,24 hours electricity,dishwasher",rural,yes,no,no,no,no,rivers,no
3500000,"rivers, port-harcourt",Duplex,4,4,per annum,unknown,Newly Built,Furnished,"microwave,air conditioning,24 hours electricity,refrigerator",rural,no,no,no,yes,no,rivers,no
4000000,"rivers, port-harcourt",Duplex,4,4,per annum,unknown,Newly Built,Furnished,none,rural,no,no,no,no,no,rivers,no
4500000,"rivers, port-harcourt, gra phase 1 / port-harcourt",Duplex,4,3,per annum,unknown,Newly Built,Unfurnished,none,rural,no,no,no,no,no,rivers,no
3500000,"rivers, port-harcourt",Duplex,4,5,per annum,unknown,Newly Built,Furnished,none,rural,no,no,no,no,no,rivers,no
2800000,"rivers, port-harcourt",Duplex,4,4,per annum,unknown,Fairly Used,Unfurnished,none,rural,no,no,no,no,no,rivers,no
5000000,"rivers, port-harcourt",Duplex,4,4,per annum,unknown,Newly Built,Furnished,none,rural,no,no,no,no,no,rivers,no
5000000,"rivers, port-harcourt",Duplex,4,5,per annum,unknown,Newly Built,Furnished,"hot water,microwave,wi-fi,dishwasher,air conditioning,tv",rural,yes,no,no,yes,no,rivers,no
2000000,"rivers, port-harcourt",Duplex,4,5,per annum,unknown,Newly Built,Unfurnished,"chandelier,kitchen cabinets,pop ceiling,kitchen shelf,pre paid meter,hot water,wardrobe,24 hours electricity,balcony,dining area,tiled floor",rural,no,yes,yes,no,yes,rivers,no
2500000,"rivers, port-harcourt",Duplex,4,4,per annum,unknown,Newly Built,Furnished,none,rural,no,no,no,no,no,rivers,no
3000000,"rivers, port-harcourt",Duplex,4,5,per annum,ahuoda,Newly Built,Furnished,"kitchen shelf,kitchen cabinets,air conditioning,microwave,hot water,24 hours electricity,dishwasher,chandelier",rural,yes,no,no,yes,yes,rivers,no
2500000,"rivers, port-harcourt",Duplex,4,4,per annum,unknown,Newly Built,Furnished,none,rural,no,no,no,no,no,rivers,no
2500000,"rivers, port-harcourt",Duplex,4,5,per annum,unknown,Newly Built,Furnished,none,rural,no,no,no,no,no,rivers,no
2600000,"rivers, port-harcourt",Duplex,4,5,per annum,unknown,Newly Built,Furnished,none,rural,no,no,no,no,no,rivers,no
4500000,"rivers, port-harcourt, trans amadi",Duplex,4,4,per annum,unknown,Newly Built,Semi-Furnished,none,rural,no,no,no,no,no,rivers,no
2000000,"rivers, port-harcourt",Duplex,4,5,per annum,unknown,Newly Built,Furnished,none,rural,no,no,no,no,no,rivers,no
2500000,"rivers, port-harcourt",Duplex,4,5,per annum,unknown,Newly Built,Semi-Furnished,none,rural,no,no,no,no,no,rivers,no
2500000,"rivers, port-harcourt",Duplex,4,5,per annum,unknown,Fairly Used,Furnished,"hot water,24 hours electricity,dishwasher",rural,yes,no,no,no,no,rivers,no
300000,"imo, owerri",Block of Flats,2,3,per annum,unknown,Newly Built,Semi-Furnished,"kitchen cabinets,tiled floor,kitchen shelf,wardrobe,dining area,balcony,dishwasher",semi_urban,yes,no,yes,no,no,imo,no
300000,"imo, owerri",Apartment,2,2,per annum,unknown,Newly Built,Unfurnished,balcony,semi_urban,no,no,no,no,no,imo,no
276000,"imo, owerri",Apartment,2,2,per annum,unknown,Newly Built,Unfurnished,24 hours electricity,semi_urban,no,no,no,no,no,imo,no
360000,"imo, owerri",Block of Flats,2,3,per annum,unknown,Newly Built,Semi-Furnished,"dishwasher,dining area,24 hours electricity,kitchen shelf,kitchen cabinets,balcony",semi_urban,yes,no,yes,no,no,imo,no
300000,"imo, owerri",Bungalow,2,2,per annum,unknown,Newly Built,Semi-Furnished,none,semi_urban,no,no,no,no,no,imo,no
360000,"imo, owerri",Apartment,2,2,per annum,unknown,Newly Built,Unfurnished,none,semi_urban,no,no,no,no,no,imo,no
300000,"imo, owerri",Block of Flats,2,2,per annum,unknown,Newly Built,Semi-Furnished,none,semi_urban,no,no,no,no,no,imo,no
300000,"imo, owerri",Block of Flats,4,3,per annum,unknown,Newly Built,Semi-Furnished,none,semi_urban,no,no,no,no,no,imo,no
360000,"imo, owerri",Apartment,2,2,per annum,unknown,Newly Built,Semi-Furnished,none,semi_urban,no,no,no,no,no,imo,no
300000,"imo, owerri",Apartment,2,2,per annum,unknown,Newly Built,Unfurnished,"balcony,dining area,tiled floor",semi_urban,no,no,yes,no,no,imo,no
2500000,"imo, owerri",Duplex,4,5,per annum,jeuidco homes,Newly Built,Unfurnished,"dining area,wardrobe,pop ceiling,kitchen cabinets,air conditioning,pre paid meter,tv,24 hours electricity,balcony,chandelier,tiled floor,hot water",semi_urban,no,yes,yes,yes,yes,imo,no
850000,"imo, owerri",Block of Flats,4,4,per annum,jeuidco homes,Newly Built,Furnished,"wardrobe,pre paid meter,hot water,24 hours electricity,kitchen cabinets,balcony,dining area,tiled floor,pop ceiling",semi_urban,no,yes,yes,no,no,imo,no
2500000,"imo, owerri",Duplex,4,5,per annum,jeuidco homes,Newly Built,Unfurnished,"balcony,pre paid meter,dining area,wardrobe,pop ceiling,tiled floor,kitchen cabinets,tv,hot water,24 hours electricity",semi_urban,no,yes,yes,no,no,imo,no
1500000,"imo, owerri",Duplex,4,5,per annum,unknown,Newly Built,Furnished,none,semi_urban,no,no,no,no,no,imo,no
2000000,"imo, owerri",Duplex,4,5,per annum,unknown,Newly Built,Furnished,none,semi_urban,no,no,no,no,no,imo,no
1000000,"imo, owerri",Duplex,4,4,per annum,unknown,Fairly Used,Furnished,none,semi_urban,no,no,no,no,no,imo,no
1200000,"imo, owerri",Bungalow,4,5,per annum,jeuidco homes,Fairly Used,Furnished,"refrigerator,tv,air conditioning,wardrobe,pop ceiling,dining area,pre paid meter,microwave,kitchen cabinets,24 hours electricity,hot water,tiled floor",semi_urban,no,yes,yes,yes,no,imo,no
2000000,"imo, owerri",Duplex,4,5,per annum,unknown,Newly Built,Furnished,none,semi_urban,no,no,no,no,no,imo,no
2500000,"imo, owerri",Duplex,4,5,per annum,unknown,Fairly Used,Furnished,none,semi_urban,no,no,no,no,no,imo,no
3500000,"imo, owerri",Duplex,4,4,per annum,unknown,Newly Built,Furnished,hot water,semi_urban,no,no,no,no,no,imo,no
2500000,"abuja, wuye",Block of Flats,3,3,per annum,unknown,Fairly Used,Semi-Furnished,none,rural,no,no,no,no,no,abuja,no
6500000,"abuja, asokoro",Bungalow,3,4,per annum,unknown,Newly Built,Furnished,"apartment,kitchen shelf,kitchen cabinets,refrigerator,pop ceiling,tiled floor,tv,chandelier,wi-fi,24 hours electricity,dining area,hot water,pre paid meter,balcony,wardrobe,air conditioning,dishwasher,microwave",rural,yes,yes,yes,yes,yes,abuja,no
5000000,"abuja, guzape district",Block of Flats,3,4,per annum,unknown,Newly Built,Semi-Furnished,"24 hours electricity,kitchen cabinets,hot water,pop ceiling,dining area,chandelier,kitchen shelf,air conditioning,balcony",semi_urban,no,no,yes,yes,yes,abuja,no
8000000,"abuja, katampe, katampe (main)",Block of Flats,3,4,per annum,mercury icon home,Newly Built,Semi-Furnished,"air conditioning,balcony,chandelier,dishwasher",rural,yes,no,no,yes,yes,abuja,no
1700000,"abuja, galadimawa",Bungalow,3,5,per annum,galadimawa,Fairly Used,Unfurnished,"kitchen cabinets,dishwasher,kitchen shelf,24 hours electricity,balcony,dining area,hot water,apartment",semi_urban,yes,no,yes,no,no,abuja,no
2000000,"abuja, galadimawa",Bungalow,3,4,per annum,galadimawa,Newly Built,Unfurnished,"kitchen cabinets,hot water,dining area,dishwasher,24 hours electricity,apartment,balcony,chandelier",semi_urban,yes,no,yes,no,yes,abuja,no
3500000,"abuja, jabi",Block of Flats,3,4,per annum,unknown,Fairly Used,Semi-Furnished,"chandelier,wardrobe,air conditioning,hot water,dining area,24 hours electricity,balcony,pop ceiling,tiled floor,apartment,kitchen cabinets,kitchen shelf,pre paid meter",semi_urban,no,yes,yes,yes,yes,abuja,no
3500000,"abuja, guzape district",Block of Flats,3,4,per annum,guzape,Newly Built,Unfurnished,"tiled floor,dining area,24 hours electricity,wardrobe,balcony,chandelier,air conditioning,dishwasher,hot water,kitchen shelf,kitchen cabinets,pop ceiling,pre paid meter,microwave",semi_urban,yes,yes,yes,yes,yes,abuja,no
3000000,"abuja, gudu",Apartment,3,4,per annum,hallmark estate,Newly Built,Unfurnished,"balcony,chandelier,hot water,pre paid meter,apartment,pop ceiling,kitchen shelf,24 hours electricity,kitchen cabinets,dining area",semi_urban,no,yes,yes,no,yes,abuja,yes
1800000,"abuja, durumi",Block of Flats,3,4,per annum,unknown,Renovated,Unfurnished,"pop ceiling,kitchen cabinets,air conditioning,dishwasher,hot water,balcony,tiled floor,dining area,kitchen shelf,chandelier,wardrobe,pre paid meter",semi_urban,yes,yes,yes,yes,yes,abuja,no
1000000,"enugu, enugu / enugu state",Apartment,3,3,per annum,unknown,Newly Built,Unfurnished,none,semi_urban,no,no,no,no,no,enugu,no
850000,"enugu, enugu / enugu state",Block of Flats,3,4,per annum,unknown,Newly Built,Unfurnished,"24 hours electricity,dining area",semi_urban,no,no,yes,no,no,enugu,no
800000,"enugu, enugu / enugu state",Block of Flats,3,4,per annum,thinkers corner,Newly Built,Unfurnished,"24 hours electricity,dining area,pop ceiling,pre paid meter,kitchen cabinets,wardrobe,tiled floor,kitchen shelf",semi_urban,no,yes,yes,no,no,enugu,no
700000,"enugu, enugu / enugu state",Bungalow,3,3,per annum,goshen estate,Newly Built,Semi-Furnished,"microwave,pre paid meter,air conditioning,kitchen shelf,dining area,kitchen cabinets,balcony,pop ceiling,dishwasher,hot water,chandelier",semi_urban,yes,yes,yes,yes,yes,enugu,yes
700000,"enugu, enugu / enugu state",Apartment,3,3,per annum,wtc estate,Newly Built,Semi-Furnished,none,semi_urban,no,no,no,no,no,enugu,yes
1500000,"enugu, enugu / enugu state",Block of Flats,3,4,per annum,independence layout,Newly Built,Furnished,"apartment,tiled floor,hot water,dishwasher,24 hours electricity,dining area,kitchen cabinets,pop ceiling,balcony,pre paid meter,wardrobe",semi_urban,yes,yes,yes,no,no,enugu,no
800000,"enugu, enugu / enugu state",Block of Flats,3,4,per annum,unknown,Newly Built,Furnished,none,semi_urban,no,no,no,no,no,enugu,no
500000,"enugu, enugu / enugu state",Apartment,3,4,per annum,unknown,Newly Built,Furnished,none,semi_urban,no,no,no,no,no,enugu,no
600000,"enugu, enugu / enugu state",Bungalow,3,3,per annum,unknown,Newly Built,Furnished,none,semi_urban,no,no,no,no,no,enugu,no
1000000,"enugu, enugu / enugu state",Apartment,3,4,per annum,unknown,Newly Built,Furnished,none,semi_urban,no,no,no,no,no,enugu,no
700000,"enugu, enugu / enugu state",Apartment,2,2,per annum,thinkers corner,Newly Built,Semi-Furnished,"pre paid meter,air conditioning,chandelier,kitchen shelf,refrigerator,kitchen cabinets,dining area,tiled floor,balcony,hot water,microwave,dishwasher",semi_urban,yes,yes,yes,yes,yes,enugu,no
800000,"enugu, enugu / enugu state",Apartment,2,3,per annum,unknown,Newly Built,Semi-Furnished,"kitchen cabinets,tiled floor,pre paid meter,pop ceiling,wardrobe,hot water,24 hours electricity,chandelier,dishwasher,kitchen shelf,dining area,balcony",semi_urban,yes,yes,yes,no,yes,enugu,no
600000,"enugu, enugu / enugu state",Block of Flats,2,3,per annum,opposite cbn,Newly Built,Semi-Furnished,"hot water,pop ceiling,dining area,kitchen cabinets,24 hours electricity,kitchen shelf,balcony,wardrobe,apartment,pre paid meter",semi_urban,no,yes,yes,no,no,enugu,no
