price,house_type,rooms,bathrooms,condition,furnishing,area,dishwasher,prepaid_meter,dinning_area,air_conditioning,chandelier,state,estate
13.017002861746503,0,1,2,1,2,2,1,1,1,0,1,3,0
12.611537753638338,0,1,2,1,0,1,0,0,1,0,0,1,0
12.206072645530174,0,1,1,0,0,1,1,1,0,0,0,0,0
15.201804919084164,2,1,2,1,1,2,1,1,1,0,1,5,0
13.997832114758229,0,1,2,0,0,1,0,0,1,0,0,5,0
13.487006490992238,0,1,1,0,0,1,0,0,0,0,0,1,0
12.429216196844383,1,1,1,1,2,1,1,0,0,0,0,0,1
13.304684934198283,1,1,2,0,0,1,0,0,0,0,0,4,0
12.154779351142624,0,1,1,1,1,1,0,1,0,0,0,1,0
12.765688433465597,0,1,1,0,0,2,1,1,0,0,0,3,0
14.690979295318174,0,1,2,1,0,2,0,0,0,0,0,5,0
13.491510222838382,1,1,1,1,2,1,1,1,1,1,1,0,0
12.611537753638338,1,1,1,1,2,1,0,0,0,0,0,4,1
13.304684934198283,0,1,2,1,1,2,1,1,1,0,0,5,1
13.687677186454389,2,1,2,1,2,1,1,0,1,1,1,0,0
11.652687407345388,1,1,1,1,1,1,1,1,0,0,0,0,0
13.304684934198283,0,1,1,1,0,1,0,0,0,0,0,1,0
13.42984807715229,2,1,1,0,0,1,0,0,0,0,0,0,0
13.997832114758229,2,1,2,0,0,1,0,0,1,0,0,5,0
14.151982794585487,1,1,2,0,1,2,0,1,1,0,0,3,0
13.592367006650065,0,1,2,1,0,1,0,0,1,0,0,0,0
15.538277155705378,0,1,1,0,0,3,0,1,0,0,0,5,0
12.429216196844383,2,1,2,1,0,1,0,1,1,0,0,1,0
14.403297222866392,1,1,2,1,1,3,1,1,1,0,0,5,0
11.918390573078392,0,1,1,0,1,1,0,0,0,0,0,1,0
12.611537753638338,0,1,2,0,1,1,0,0,0,0,0,1,0
12.206072645530174,2,1,1,0,1,2,1,1,0,0,0,3,0
12.206072645530174,0,1,1,1,1,1,0,1,0,0,0,1,0
11.77528972943772,0,1,1,0,1,1,0,0,0,0,0,1,0
12.100712129872347,1,1,1,1,0,2,0,1,1,0,0,0,0
12.206072645530174,1,1,2,1,2,1,1,1,1,0,0,0,0
15.424948470398375,0,1,2,0,1,3,0,0,0,0,0,5,0
12.429216196844383,1,1,2,1,2,1,1,1,0,0,0,0,0
12.89921982609012,0,1,1,0,1,1,0,1,0,0,0,5,0
12.429216196844383,2,1,1,1,1,1,1,1,0,0,0,0,0
12.429216196844383,2,1,1,0,1,1,0,0,0,1,0,0,0
11.512925464970229,0,1,1,0,2,1,0,0,0,0,0,5,0
12.429216196844383,0,1,1,0,1,1,0,1,0,0,0,5,0
12.206072645530174,1,1,1,0,2,1,1,1,0,0,0,0,0
15.150511624696614,1,1,1,0,2,3,0,1,1,1,0,5,1
12.429216196844383,1,1,1,1,2,1,0,1,0,0,0,0,0
12.89921982609012,0,1,1,0,1,1,0,1,0,0,0,5,0
14.22097566607244,0,1,1,0,0,3,0,0,0,0,0,5,0
12.429216196844383,2,1,1,0,1,1,0,0,0,1,0,0,0
11.512925464970229,0,1,1,0,2,1,0,0,0,0,0,5,0
13.458835614025542,1,1,1,0,2,2,0,0,0,0,0,5,1
13.458835614025542,1,1,1,0,0,1,1,0,0,0,0,5,0
13.527828485512494,1,1,1,0,0,1,1,0,0,0,0,5,0
13.710150042306449,1,1,1,1,2,2,0,0,0,0,0,5,1
12.301382825334498,1,1,1,1,1,1,1,1,0,0,0,0,0
12.506177237980511,1,1,2,1,2,1,0,1,0,0,0,0,1
13.487006490992238,0,1,1,1,0,1,1,0,0,0,0,0,0
12.89921982609012,2,1,1,1,1,2,0,1,0,0,0,6,0
12.043553716032399,2,1,1,1,2,1,0,0,0,0,0,0,0
12.345834587905333,1,1,1,1,1,2,0,1,1,1,0,0,1
11.184421397998193,1,1,1,1,0,1,1,1,0,0,0,0,0
13.304684934198283,1,1,1,1,1,1,0,1,0,0,0,0,0
13.42984807715229,1,1,1,0,1,1,0,1,0,0,0,0,0
13.217673557208654,1,1,1,0,1,2,1,1,0,0,1,5,0
13.304684934198283,1,1,2,1,1,2,1,1,1,0,1,5,1
14.403297222866392,1,1,2,1,1,3,1,1,1,0,0,5,0
12.429216196844383,2,1,1,1,1,1,1,1,0,0,0,0,0
11.77528972943772,2,1,1,1,0,2,0,0,0,0,0,0,0
11.918390573078392,2,1,1,1,1,1,0,0,0,0,0,0,0
16.523560759066484,2,1,1,0,2,2,0,1,0,0,0,3,0
13.304684934198283,1,1,2,0,0,1,0,0,0,0,0,4,0
14.151982794585487,1,1,1,1,1,2,0,0,0,0,0,3,0
13.122363377404328,2,1,2,0,0,2,0,0,0,0,0,5,0
14.940440154949757,1,1,1,0,1,2,1,0,0,0,0,5,1
12.301382825334498,1,1,1,1,1,1,1,1,0,0,0,0,0
14.508657738524219,1,1,1,1,1,3,1,1,1,1,1,5,0
12.765688433465597,2,1,2,1,2,1,1,0,1,0,1,1,0
13.217673557208654,1,1,2,1,2,1,0,1,0,0,0,5,1
14.151982794585487,1,1,2,0,1,2,0,1,1,0,0,3,0
13.815510557964274,1,1,1,0,2,1,0,0,0,0,0,4,1
14.845129975145433,1,1,2,1,0,1,1,1,1,0,1,0,0
13.592367006650065,2,1,2,1,1,1,0,1,1,0,0,5,0
12.429216196844383,2,1,1,0,0,3,1,0,0,0,0,5,0
13.304684934198283,2,1,1,1,1,1,1,0,0,0,1,5,0
13.997832114758229,2,1,1,0,1,1,1,0,1,0,1,5,0
12.89921982609012,0,1,1,0,1,1,0,1,0,0,0,5,1
13.017002861746503,1,1,1,0,1,1,0,0,0,0,0,5,0
12.706847933442663,1,1,1,1,1,2,0,1,1,0,0,0,0
14.28551418721001,1,1,1,1,1,1,0,1,0,0,0,4,0
13.42984807715229,2,1,1,0,0,1,0,0,0,0,0,0,0
16.70588231586044,0,2,3,0,2,3,1,1,1,1,1,5,0
14.73180128983843,1,2,2,0,1,3,0,1,0,1,0,5,0
15.761420707019587,0,2,3,0,2,3,1,1,1,1,1,5,0
14.22097566607244,0,2,2,1,0,2,0,1,1,0,0,5,0
14.508657738524219,0,2,3,1,1,1,0,1,1,0,1,0,0
13.017002861746503,1,2,2,0,2,1,0,0,0,0,0,0,0
14.28551418721001,0,2,3,1,2,1,0,1,1,0,1,0,1
13.815510557964274,1,2,3,1,2,1,0,1,1,0,1,0,0
11.695247021764184,0,2,2,0,1,1,0,0,0,0,0,0,1
14.22097566607244,2,2,2,0,2,2,0,0,0,0,0,0,0
12.89921982609012,1,2,2,1,2,3,1,0,1,1,1,5,0
15.60727002719233,0,2,3,1,0,2,0,1,1,1,0,0,0
13.304684934198283,1,2,3,1,0,2,0,1,1,0,1,2,0
15.38412647587812,0,2,2,1,0,2,0,0,0,0,0,5,0
12.765688433465597,0,2,1,0,0,2,0,0,0,0,0,0,0
12.89921982609012,2,2,3,0,0,2,0,1,1,0,0,0,0
13.345506928718539,0,2,2,0,0,2,0,1,0,0,0,0,0
12.706847933442663,2,2,3,0,0,2,0,1,1,0,0,0,0
13.217673557208654,2,2,3,1,0,2,1,1,1,0,0,0,0
15.021481364952884,2,2,3,0,0,2,0,0,1,0,0,0,0
14.508657738524219,1,2,2,0,2,2,0,1,1,0,0,5,1
15.60727002719233,0,2,3,0,2,3,1,0,1,0,1,5,0
15.60727002719233,1,2,3,1,2,2,1,1,1,0,1,5,1
14.22097566607244,1,2,3,1,1,1,1,0,1,0,1,5,0
13.458835614025542,0,2,3,1,2,1,0,1,0,0,0,5,0
13.592367006650065,1,2,3,1,2,1,1,1,1,1,1,0,1
13.444446876573442,2,2,3,1,0,2,0,1,1,0,0,0,0
13.997832114758229,0,2,3,1,1,1,1,1,1,0,1,5,1
13.815510557964274,1,2,3,1,1,1,0,1,1,0,1,4,1
14.508657738524219,1,2,3,1,2,1,1,1,1,0,0,1,0
15.201804919084164,1,2,3,1,0,1,0,1,1,0,0,1,0
12.765688433465597,0,2,3,1,0,1,0,1,1,0,0,0,0
13.527828485512494,1,2,3,0,0,2,0,1,1,0,0,5,1
14.151982794585487,0,2,2,1,0,2,0,1,1,0,0,5,0
13.122363377404328,0,2,3,0,2,1,1,1,1,0,0,0,0
12.765688433465597,0,2,2,1,0,1,1,1,1,0,0,1,0
14.22097566607244,2,2,3,1,1,1,0,1,1,0,1,4,1
13.592367006650065,0,2,3,1,0,1,0,1,1,0,0,1,0
12.89921982609012,1,2,3,1,1,1,0,0,0,0,0,0,0
13.458835614025542,0,2,2,1,1,1,0,0,1,0,0,4,0
13.997832114758229,0,2,2,1,0,2,0,1,1,0,0,5,0
14.077874822431765,0,2,2,1,0,2,0,1,1,0,1,5,0
14.22097566607244,1,2,3,0,0,2,0,0,0,0,0,5,0
14.508657738524219,0,2,2,1,0,2,0,0,0,0,0,5,1
13.764217263576723,1,2,3,1,0,2,0,0,1,0,0,5,1
13.815510557964274,0,2,3,1,1,2,1,1,0,0,1,0,0
13.815510557964274,1,2,2,1,0,1,0,0,1,0,0,5,0
13.217673557208654,0,2,3,1,0,1,0,1,1,0,0,1,0
14.077874822431765,0,2,2,1,0,1,0,0,1,0,1,5,0
13.217673557208654,1,2,2,1,2,1,1,1,1,0,1,5,1
15.60727002719233,0,2,3,0,2,1,1,1,1,1,1,4,0
12.765688433465597,1,2,1,1,0,1,0,0,1,0,0,0,0
13.815510557964274,0,2,3,1,2,1,0,0,0,0,0,5,0
