price,location,house_type,rooms,bathrooms,rent_duration,PROPERTY ADDRESS,ESTATE NAME,CONDITION,FURNISHING,FACILITIES,SERVICE CHARGE,PROPERTY SIZE,PETS,AGENCY FEE,LEGAL AND AGREEMENT FEE,CAUTION FEE,NEW PROPERTY,TOTAL ROOMS,PARKING SPACE,FURNISHED,SMOKING,PARTIES,BROKER FEE,HOUSING QUALITY
"₦ 4,500,000","Lagos, Lekki, Chevron",Duplex,4 bedrooms,4 bathrooms,per quarter,Bera Estate Chevron lekki lagos,Bera Estate,Newly Built,Furnished,"Balcony,Chandelier,Dining Area,Dishwasher,Hot Water,Kitchen Cabinets,Kitchen Shelf,Microwave,Pop Ceiling,Pre Paid Meter,Tiled Floor,Wardrobe",Yes,450 sqm,,450000.0,450000.0,,,,,,,,,
"₦ 8,500,000","Lagos, Lekki, Lekki Phase 1",Duplex,4 bedrooms,4 bathrooms,per annum,lekki phase1,Terrace duplex,Newly Built,Furnished,"Tiled Floor,Kitchen Cabinets,Chandelier,Microwave,Refrigerator,Balcony,Dining Area,Kitchen Shelf,Wardrobe,Dishwasher,Hot Water,Pre Paid Meter,24 Hours Electricity,Pop Ceiling",Yes,200 sqm,Pets Allowed,850000.0,850000.0,,,,,,,,,
"₦ 8,000,000","Lagos, Ikeja, Ikeja GRA",Duplex,4 bedrooms,5 bathrooms,per annum,Rev Ogunbiyi,secured estate,Newly Built,Furnished,"24 Hours Electricity,Dining Area,Kitchen Shelf,Dishwasher,Microwave,Refrigerator,Tiled Floor,Kitchen Cabinets,Pre Paid Meter,Wi-Fi,Pop Ceiling,TV,Air Conditioning,Wardrobe,Balcony,Chandelier,Hot Water",Yes,,Pets Allowed,,,,,,,,,,,
"₦ 7,000,000","Lagos, Lekki",Townhouse/Terrace,4 bedrooms,4 bathrooms,anually,Ikate lekki phase 1,ikate Lekki,Newly Built,Semi-Furnished,Apartment,,,Pets Allowed,,,,,,,,,,,
"₦ 2,700,000",none,Apartment,4 bedrooms,5 bathrooms,per quarter,4 Fon street Eliada Layout,Cocaine Estate,Renovated,Unfurnished,"Wi-Fi,Balcony,Hot Water,Wardrobe,Tiled Floor,Dining Area,Kitchen Cabinets,Kitchen Shelf,Pop Ceiling,Pre Paid Meter",Yes,,No Pets,,,,,,,,,,,
"₦ 1,000,000","Enugu, Enugu / Enugu State",House,4 bedrooms,3 bathrooms,per annum,4 bedroom flat at New heaven good for commercial business,New heaven,Renovated,Semi-Furnished,"24 Hours Electricity,Pre Paid Meter,Balcony,Tiled Floor,Wardrobe",Yes,500 sqm,No Pets,10.0,10.0,10.0,,,,,,,,
"₦ 3,500,000","Rivers, Port-Harcourt",Duplex,4 bedrooms,5 bathrooms,per quarter,Brand new 3bedroom Duplex with federal light in GRA,Onne GRA,Newly Built,Furnished,"Chandelier,24 Hours Electricity,Pop Ceiling,Hot Water,Kitchen Cabinets,Kitchen Shelf,Microwave,Refrigerator,Balcony,Dining Area,Pre Paid Meter,Dishwasher,Air Conditioning,Tiled Floor,Wardrobe",Yes,460 sqm,Pets Allowed,,,,,,,,,,,
"₦ 3,500,000","Rivers, Port-Harcourt",Duplex,4 bedrooms,5 bathrooms,anually,,,,,,,,,,,,Yes,4.0,Yes,Yes,,,,
"₦ 5,500,000","Rivers, Port-Harcourt",Duplex,4 bedrooms,5 bathrooms,per quarter,NAF Harmony Estate Eliozu Portharcourt,cityestateproperty.com.ng,Newly Built,Furnished,,,465 sqm,,,,,,,,,,,,
"₦ 2,500,000","Rivers, Port-Harcourt",Duplex,4 bedrooms,5 bathrooms,anually,,,,Furnished,,,,Pets Allowed,,,,Yes,4.0,Yes,,Allowed,Allowed,Yes,
"₦ 2,300,000","Lagos, Ojodu, Isheri North",Duplex,4 bedrooms,4 bathrooms,per annum,Newly built 4bedrooms semi detached duplex in opic isheri f,opic estate,Newly Built,Furnished,,Yes,325 sqm,Pets Allowed,,,,,,,,,,,
"₦ 15,000,000","Lagos, Ikoyi, Banana Island",Duplex,4 bedrooms,5 bathrooms,per annum,Banana island,Banana island Eatate,Newly Built,Unfurnished,"Hot Water,Chandelier,Dishwasher,Balcony,Pop Ceiling,Pre Paid Meter,Refrigerator,Wardrobe,Kitchen Shelf,Microwave,Kitchen Cabinets,Air Conditioning,24 Hours Electricity,Tiled Floor,Dining Area,Apartment",Yes,,,,,,,,,,,,,
"₦ 2,000,000","Rivers, Port-Harcourt",Duplex,4 bedrooms,5 bathrooms,per quarter,Exotic 4bedroom Duplex in Eagle land off Agip,Eagle Land Estate,Newly Built,Semi-Furnished,"Hot Water,Dining Area,Microwave,Balcony,Chandelier,Kitchen Shelf,24 Hours Electricity,Dishwasher,Kitchen Cabinets,Wardrobe,Pop Ceiling,Pre Paid Meter",,,Pets Allowed,,,,,,,,,,,
"₦ 3,000,000","Rivers, Port-Harcourt",Duplex,4 bedrooms,5 bathrooms,per annum,Ahuoda Estate,Ahuoda,Newly Built,Furnished,"Kitchen Shelf,Kitchen Cabinets,Air Conditioning,Microwave,Hot Water,24 Hours Electricity,Dishwasher,Chandelier",,,No Pets,300.0,150.0,200.0,,,,,,,,
"₦ 2,500,000","Rivers, Port-Harcourt",Duplex,4 bedrooms,4 bathrooms,anually,,,,,,,,,,,,Yes,4.0,Yes,Yes,,,,
"₦ 2,000,000","Rivers, Port-Harcourt",Duplex,4 bedrooms,5 bathrooms,anually,,,,,,,,,,,,Yes,4.0,Yes,Yes,,,,
"₦ 700,000","Imo, Owerri",Block of Flats,3 bedrooms,3 bathrooms,anually,Located in New Owerri,,Newly Built,Unfurnished,"24 Hours Electricity,Balcony,Chandelier,Dining Area,Kitchen Cabinets,Kitchen Shelf,Tiled Floor,Wardrobe",,,No Pets,70000,,,,,,,,,,
"₦ 1,000,000","Imo, Owerri",Duplex,4 bedrooms,4 bathrooms,anually,Located at New Owerri,,Fairly Used,Furnished,,,1500 sqm,No Pets,,,,,6,Yes,,Allowed,Allowed,No,Standard
"₦ 2,000,000","Imo, Owerri",Duplex,4 bedrooms,5 bathrooms,anually,Located at New Owerri,,Newly Built,Furnished,,,450 sqm,Pets Allowed,,,,,6,Yes,,Allowed,Allowed,No,Standard
"₦ 2,000,000","Imo, Owerri",Duplex,4 bedrooms,4 bathrooms,anually,Located at Concord Axis,,Fairly Used,Semi-Furnished,Hot Water,,1500 sqm,No Pets,,,,,5,Yes,,Allowed,Allowed,No,Standard
"₦ 1,500,000","Imo, Owerri",Duplex,4 bedrooms,5 bathrooms,anually,Located in Owerri,,Fairly Used,Furnished,Hot Water,,600 sqm,Pets Allowed,,,,,5,Yes,,Allowed,Allowed,No,Standard
"₦ 5,000,000","Imo, Owerri",Duplex,4 bedrooms,5 bathrooms,anually,,,,Furnished,,,750 sqm,Pets Allowed,,,,Yes,5,Yes,,Allowed,Allowed,No,
"₦ 600,000","Imo, Owerri",Apartment,3 bedrooms,3 bathrooms,anually,Located Within Concord Axis,,Fairly Used,Semi-Furnished,,,500 sqm,No Pets,,,,,4,Yes,,Allowed,Allowed,No,Standard
"₦ 2,500,000","Imo, Owerri",Duplex,4 bedrooms,5 bathrooms,anually,,,,,,,1500 sqm,,,,,No,5,Yes,Yes,,,No,
"₦ 1,300,000","Imo, Owerri",Duplex,4 bedrooms,4 bathrooms,anually,Located in New Owerri,,Fairly Used,Furnished,Hot Water,,1500 sqm,No Pets,,,,,6,Yes,,Allowed,Allowed,No,Standard
"₦ 3,500,000","Imo, Owerri",Duplex,4 bedrooms,4 bathrooms,anually,"Located in New Owerri, Concord Axis.",,Newly Built,Furnished,Hot Water,,450 sqm,Pets Allowed,,,,,5,Yes,,Allowed,Allowed,No,Standard
"₦ 2,500,000","Imo, Owerri",Duplex,3 bedrooms,3 bathrooms,anually,,,,Furnished,,,500 sqm,Pets Allowed,,,,Yes,4,Yes,,Allowed,Allowed,No,
"₦ 1,300,000","Imo, Owerri",Duplex,4 bedrooms,4 bathrooms,anually,,,,Semi-Furnished,,,1700 sqm,Pets Allowed,,,,No,5,Yes,,Allowed,Allowed,No,
"₦ 15,000,000","Abuja, Maitama",Block of Flats,4 bedrooms,4 bathrooms,per annum,osun cresent,Ancestors Court,Renovated,Semi-Furnished,"24 Hours Electricity,Air Conditioning,Balcony,Chandelier,Dining Area,Dishwasher,Hot Water,Kitchen Cabinets,Kitchen Shelf,Microwave,Pop Ceiling,Pre Paid Meter,Refrigerator,Tiled Floor,Wardrobe",,,,,,,,,,,,,,
"₦ 16,000,000","Abuja, Maitama",Penthouse,4 bedrooms,4 bathrooms,per annum,"No.34 Osun cresent, maitama Abuja",Ancestors Court,Renovated,Semi-Furnished,"24 Hours Electricity,Air Conditioning,Balcony,Chandelier,Dining Area,Hot Water,Kitchen Cabinets,Kitchen Shelf,Microwave,Pop Ceiling,Pre Paid Meter,Refrigerator,Tiled Floor,Wardrobe",,,,,,,,,,,,,,
"₦ 2,500,000","Abuja, Galadimawa",Duplex,4 bedrooms,4 bathrooms,per annum,Brains n Hammer Galadimawa round about,,Fairly Used,Unfurnished,"Wardrobe,Tiled Floor,24 Hours Electricity,Dining Area,Hot Water,Kitchen Cabinets,Kitchen Shelf,Pre Paid Meter,Balcony",,400 sqm,,125000,125000,,,,,,,,,
"₦ 35,000,000","Abuja, Dakwo District",Bungalow,4 bedrooms,5 bathrooms,anually,,,,Unfurnished,,,,,,,,Yes,4,,,,,Yes,
"₦ 6,500,000","Abuja, Mabushi",Duplex,4 bedrooms,5 bathrooms,anually,by VIO,,Newly Built,Unfurnished,"Balcony,Chandelier,Dining Area,Hot Water,Kitchen Cabinets,Kitchen Shelf,Pop Ceiling,Pre Paid Meter,Tiled Floor,Refrigerator,Wardrobe",,3000 sqm,Pets Allowed,10,5,,,,,,,,,
"₦ 5,500,000","Abuja, Gwarinpa",Duplex,4 bedrooms,5 bathrooms,anually,,,Newly Built,Semi-Furnished,,,,,,,,,6,Yes,,,,,
"₦ 4,000,000","Abuja, Utako",Duplex,4 bedrooms,5 bathrooms,per annum,okonjo iwuala,richfield,Fairly Used,Semi-Furnished,,,,,,,,,,,,,,,
"₦ 6,800,000","Abuja, Jahi",Duplex,4 bedrooms,5 bathrooms,per annum,Jahi,,Newly Built,Semi-Furnished,"Balcony,Dishwasher,Microwave,24 Hours Electricity,Hot Water,Kitchen Cabinets,Pre Paid Meter,Pop Ceiling,Dining Area,Kitchen Shelf,Refrigerator,Chandelier",,,,275000,275000,,,,,,,,,
"₦ 5,500,000","Abuja, Jahi",Duplex,4 bedrooms,5 bathrooms,per annum,jahi by Gilmore,jahi by Gilmore,Newly Built,Furnished,,,,Pets Allowed,250000,500500,,,,,,,,,
"₦ 5,500,000","Abuja, Jahi",Duplex,4 bedrooms,5 bathrooms,anually,jahi by Gilmore,,Newly Built,Furnished,"24 Hours Electricity,Balcony,Tiled Floor,Dining Area,Wardrobe,Chandelier,Hot Water,Kitchen Cabinets,Pre Paid Meter,Pop Ceiling",,,Pets Allowed,,,,,,,,,,,
"₦ 2,500,000","Abuja, Lokogoma",Duplex,4 bedrooms,5 bathrooms,per annum,urban shelter estate,urban shelter estate lokogoma,Newly Built,Furnished,,,,,,,,,,,,,,,
"₦ 2,500,000",none,Duplex,4 bedrooms,4 bathrooms,per annum,"Kanma estate, Behind Penthouse estate, Lugbe accross AbujaFc",Kanma Estate,Newly Built,Unfurnished,"24 Hours Electricity,Balcony,Chandelier,Dining Area,Hot Water,Kitchen Cabinets,Kitchen Shelf,Pop Ceiling",,120 sqm,No Pets,250000,125000,0,,,,,,,,
"₦ 2,000,000","Abuja, Gwarinpa",Block of Flats,4 bedrooms,5 bathrooms,anually,1st avenue Gwarinpa,,Fairly Used,Unfurnished,24 Hours Electricity,,100 sqm,Pets Allowed,50,50,150000,,,,,,,,
"₦ 4,000,000","Abuja, Gwarinpa",Duplex,4 bedrooms,5 bathrooms,per annum,2nd avenue Gwarinpa,Gwarinpa Estate,Fairly Used,Unfurnished,24 Hours Electricity,,100 sqm,Pets Allowed,,,,,,,,,,,
"₦ 2,800,000","Abuja, Gwarinpa",Duplex,4 bedrooms,5 bathrooms,anually,2nd avenue Gwarinpa,Gwarinpa Estate,Fairly Used,Unfurnished,24 Hours Electricity,,50 sqm,Pets Allowed,50,50,0,,,,,,,,
"₦ 2,000,000","Abuja, Gwarinpa",Block of Flats,4 bedrooms,5 bathrooms,anually,1st avenue Gwarinpa,,Fairly Used,Unfurnished,24 Hours Electricity,,100 sqm,Pets Allowed,50,50,150000,,,,,,,,
"₦ 3,500,000","Abuja, Gwarinpa",Bungalow,4 bedrooms,5 bathrooms,per annum,Gwarinpa Estate,Gwarinpa Estate,Newly Built,Semi-Furnished,24 Hours Electricity,,50 sqm,Pets Allowed,,,,,,,,,,,
"₦ 2,500,000",none,Duplex,4 bedrooms,5 bathrooms,anually,"River Park Estate, Airport Road Abuja.",,Newly Built,Semi-Furnished,,,550 sqm,Pets Allowed,,,,,4,Yes,,,,Yes,Standard
"₦ 6,500,000","Lagos, Lekki, Ikate-Elegushi",Duplex,4 bedrooms,4 bathrooms,per annum,lekki lagos,,Newly Built,Unfurnished,"Tiled Floor,Dining Area,Kitchen Shelf,Dishwasher,Hot Water,Chandelier,Pop Ceiling,Apartment,Kitchen Cabinets,Balcony,Pre Paid Meter",,,,,,,,,,,,,,
"₦ 3,000,000","Lagos, Lekki",Duplex,4 bedrooms,5 bathrooms,per annum,orchid road by. 2nd toll gate LEKkI Lagos,buene vista Estate,Fairly Used,Unfurnished,"Air Conditioning,Balcony,Chandelier,Dining Area,Dishwasher,Hot Water,Kitchen Cabinets,Kitchen Shelf,Pop Ceiling,Pre Paid Meter,Wardrobe",,300 sqm,Pets Allowed,,,,,,,,,,,
"₦ 27,000,000","Lagos, Ikoyi, Banana Island",Apartment,4 bedrooms,4 bathrooms,per quarter,"Banana Island Ikoyi, Lagos",,Newly Built,Unfurnished,"Kitchen Shelf,Pre Paid Meter,Microwave,Chandelier,Tiled Floor,Balcony,24 Hours Electricity,Hot Water,Kitchen Cabinets,Dining Area,Apartment,Pop Ceiling,Air Conditioning,Wardrobe",,,,,,,,,,,,,,
"₦ 65,000","Lagos, Ikeja",Duplex,4 bedrooms,4 bathrooms,anually,Works Road,Emeka Anyaoku Estate,Newly Built,Furnished,"Air Conditioning,24 Hours Electricity,Balcony,Chandelier,Dining Area,Hot Water,Kitchen Cabinets,Kitchen Shelf,Microwave,Pop Ceiling,Pre Paid Meter,Refrigerator,Tiled Floor,TV,Wardrobe",,,No Pets,,,,,,,,,,,
"₦ 2,000,000","Lagos, Lekki, Lekki Phase 2",Duplex,4 bedrooms,5 bathrooms,per annum,By Novara ShopRite Lekki Ajah Lagos,On monastery road,Fairly Used,Semi-Furnished,"Tiled Floor,Pop Ceiling,Chandelier,Wardrobe,Balcony,Apartment,Pre Paid Meter,Dining Area,Kitchen Cabinets,Kitchen Shelf,Dishwasher,Hot Water",,3000 sqm,,,,,,,,,,,,
"₦ 1,000,000",none,Bungalow,4 bedrooms,5 bathrooms,per annum,"4A, C Close, Ogun State","Goodwill Estate, Mapara via Magboro",Newly Built,Semi-Furnished,"Hot Water,Balcony,Tiled Floor,Pop Ceiling,Dishwasher,Dining Area",Yes,395 sqm,Pets Allowed,100000,100000,100000,,,,,,,,
"₦ 3,500,000","Lagos, Lekki",Duplex,4 bedrooms,5 bathrooms,anually,,,,,,,,,,,,Yes,5,Yes,Yes,,,,
"₦ 2,000,000","Lagos, Ajah, Crown Estate",Duplex,4 bedrooms,5 bathrooms,per annum,"Estate around Crown Estate, Sangotedo axis, Ajah, Lekki.",,,Unfurnished,,,,,,,,,,,,,,,
"₦ 1,000,000",none,Duplex,4 bedrooms,5 bathrooms,per annum,Akala Express,"Olusetan, Elebu",Newly Built,Semi-Furnished,"Hot Water,Kitchen Shelf,Pop Ceiling,Tiled Floor,Chandelier,Dishwasher,Balcony,Kitchen Cabinets,Dining Area,Wardrobe",Yes,,,200000,100000,100000,,,,,,,,
"₦ 1,200,000","Enugu, Enugu / Enugu State",Bungalow,4 bedrooms,4 bathrooms,per quarter,GRA,GRA,Fairly Used,Semi-Furnished,,,1300 sqm,,,,,,,,,,,,
"₦ 2,000,000","Lagos, Ajah",Duplex,4 bedrooms,4 bathrooms,per annum,"near lbs, Ajah lekki",,,Furnished,,,,,,,,,,,,,,,
"₦ 2,500,000","Lagos, Ajah, Olokonla",Duplex,4 bedrooms,5 bathrooms,per annum,"After LBS, Olokonla, Ajah axis, Lekki.",Estate.,Newly Built,Unfurnished,"Pop Ceiling,Chandelier,Dining Area,Microwave,Balcony,Kitchen Cabinets,Pre Paid Meter,Wardrobe,Hot Water,Dishwasher,Kitchen Shelf,Tiled Floor",,650 sqm,Pets Allowed,250000,250000,200000,,,,,,,,
"₦ 8,000,000","Abuja, Guzape District",Townhouse/Terrace,4 bedrooms,5 bathrooms,per annum,Guzape Close to COZA church,,Newly Built,Semi-Furnished,"Pop Ceiling,Kitchen Cabinets,Apartment,Wi-Fi,Hot Water,Chandelier,Tiled Floor,Air Conditioning,Wardrobe,Dishwasher,24 Hours Electricity,Pre Paid Meter,Balcony,Dining Area,Kitchen Shelf,Microwave",Yes,,,,,,,,,,,,,
"₦ 7,000,000","Lagos, Lekki, Lekki Phase 2",House,4 bedrooms,4 bathrooms,per annum,"Lake View Estate, (Adjacent VGC),Ajah, Lagos",Lake View Estate,Newly Built,Semi-Furnished,"Pop Ceiling,Dining Area,Pre Paid Meter,Tiled Floor,Wardrobe,Kitchen Cabinets,Kitchen Shelf,Hot Water",,,,,,,,,,,,,,
"₦ 3,000,000","Lagos, Lekki, Lekki Phase 2",Duplex,4 bedrooms,4 bathrooms,per annum,ELEGANZA,,Newly Built,Semi-Furnished,,,,,,,,,,,,,,,
"₦ 2,500,000",none,Bungalow,4 bedrooms,4 bathrooms,per annum,"ogunlaja drive , majek area",bashorun estate,Fairly Used,Furnished,"Balcony,Wardrobe,Tiled Floor,Kitchen Shelf,Dining Area,Kitchen Cabinets,Apartment,Microwave,Pop Ceiling,Refrigerator",,800 sqm,Pets Allowed,,,,,,,,,,,
"₦ 800,000","Enugu, Enugu / Enugu State",Bungalow,4 bedrooms,5 bathrooms,per quarter,trans ekulu,winner's estate,Newly Built,Semi-Furnished,"Pre Paid Meter,Dining Area,Balcony,24 Hours Electricity,Kitchen Cabinets,Tiled Floor,Wardrobe,Dishwasher,Pop Ceiling",,1900 sqm,Pets Allowed,,,,,,,,,,,
"₦ 4,500,000","Lagos, Ikoyi, Old Ikoyi",Block of Flats,4 bedrooms,4 bathrooms,per annum,parkview ikoyi,park view ikoy,Newly Built,Semi-Furnished,,,500 sqm,,,,,,,,,,,,
"₦ 1,000,000","Enugu, Enugu / Enugu State",Bungalow,4 bedrooms,4 bathrooms,per annum,fidelity estate,,Newly Built,Semi-Furnished,,,1200 sqm,,,,,,,,,,,,
