price,location,house_type,rooms,bathrooms,rent_duration,PROPERTY ADDRESS,ESTATE NAME,CONDITION,FURNISHING,FACILITIES,SERVICE CHARGE,PROPERTY SIZE,PETS,AGENCY FEE,LEGAL AND AGREEMENT FEE,CAUTION FEE,NEW PROPERTY,TOTAL ROOMS,PARKING SPACE,FURNISHED,SMOKING,PARTIES,BROKER FEE,HOUSING QUALITY
"₦ 3,000,000","Rivers, Port-Harcourt",Duplex,4 bedrooms,5 bathrooms,per annum,mercyland off NTA Rd,Francis Estate,Newly Built,Furnished,"Dishwasher,Dining Area,Pre Paid Meter,Air Conditioning,Pop Ceiling,24 Hours Electricity,Kitchen Shelf,Tiled Floor,Wardrobe,Balcony,Kitchen Cabinets,Hot Water",,469 sqm,Pets Allowed,,,,,,,,,,,
"₦ 3,500,000","Rivers, Port-Harcourt",Duplex,4 bedrooms,4 bathrooms,anually,,,,Furnished,,,,Pets Allowed,,,,Yes,4,Yes,,Not Allowed,Allowed,Yes,
"₦ 1,600,000","Rivers, Port-Harcourt",Duplex,5 bedrooms,5 bathrooms,anually,,,,,,,,,,,,Yes,4,Yes,Yes,,,,
"₦ 2,500,000","Rivers, Port-Harcourt",Duplex,4 bedrooms,5 bathrooms,anually,,,,Furnished,,,,Pets Allowed,,,,Yes,4,Yes,,Allowed,Allowed,Yes,
"₦ 3,000,000","Rivers, Port-Harcourt",Duplex,4 bedrooms,5 bathrooms,anually,,,,Semi-Furnished,,,,Pets Allowed,,,,Yes,4,Yes,,Allowed,Allowed,Yes,
"₦ 10,000,000","Rivers, Port-Harcourt",Duplex,4 bedrooms,5 bathrooms,per annum,old GRA,bomari Estate,Newly Built,Furnished,"Dishwasher,Chandelier,Kitchen Cabinets,Wardrobe,Microwave,Hot Water,Kitchen Shelf,Pop Ceiling,Dining Area,24 Hours Electricity,Refrigerator,Tiled Floor,TV",,460 sqm,Pets Allowed,1000000,50000,1000000,,,,,,,,
"₦ 4,000,000","Rivers, Port-Harcourt",Duplex,4 bedrooms,5 bathrooms,anually,Ada George,,Newly Built,Furnished,"Refrigerator,Hot Water,24 Hours Electricity,Dishwasher",,,Pets Allowed,400,200,300,,4,,,,,,Standard
"₦ 3,500,000","Rivers, Port-Harcourt",Duplex,4 bedrooms,4 bathrooms,anually,GRA PH,,Newly Built,Furnished,"Microwave,Air Conditioning,24 Hours Electricity,Refrigerator",,,No Pets,35000,1750,200,,4,Yes,,,,,Standard
"₦ 4,000,000","Rivers, Port-Harcourt",Duplex,4 bedrooms,4 bathrooms,anually,,,,,,,,,,,,Yes,4,Yes,Yes,,,,
"₦ 4,500,000","Rivers, Port-Harcourt, GRA Phase 1 / Port-Harcourt",Duplex,4 bedrooms,3 bathrooms,per annum,GRA PH,,Newly Built,Unfurnished,,,,,,,,,,,,,,,
"₦ 3,500,000","Rivers, Port-Harcourt",Duplex,4 bedrooms,5 bathrooms,anually,,,,,,,,,,,,Yes,4,Yes,Yes,,,,
"₦ 2,800,000","Rivers, Port-Harcourt",Duplex,4 bedrooms,4 bathrooms,anually,,,,Unfurnished,,,,,,,,,4,,,,,Yes,
"₦ 5,000,000","Rivers, Port-Harcourt",Duplex,4 bedrooms,4 bathrooms,anually,,,Newly Built,Furnished,,,,Pets Allowed,,,,,5,Yes,,Allowed,Not Allowed,Yes,Standard
"₦ 5,000,000","Rivers, Port-Harcourt",Duplex,4 bedrooms,5 bathrooms,anually,Ada George,,Newly Built,Furnished,"Hot Water,Microwave,Wi-Fi,Dishwasher,Air Conditioning,TV",,,,,,,,4,Yes,,Allowed,Allowed,Yes,Standard
"₦ 2,000,000","Rivers, Port-Harcourt",Duplex,4 bedrooms,5 bathrooms,per annum,Shell Cooperative Estate Off Eliozu,,Newly Built,Unfurnished,"Chandelier,Kitchen Cabinets,Pop Ceiling,Kitchen Shelf,Pre Paid Meter,Hot Water,Wardrobe,24 Hours Electricity,Balcony,Dining Area,Tiled Floor",,,,,,,,,,,,,,
"₦ 2,500,000","Rivers, Port-Harcourt",Duplex,4 bedrooms,4 bathrooms,anually,,,,,,,,,,,,Yes,4,Yes,Yes,,,,
"₦ 3,000,000","Rivers, Port-Harcourt",Duplex,4 bedrooms,5 bathrooms,per annum,Ahuoda Estate,Ahuoda,Newly Built,Furnished,"Kitchen Shelf,Kitchen Cabinets,Air Conditioning,Microwave,Hot Water,24 Hours Electricity,Dishwasher,Chandelier",,,No Pets,300,150,200,,,,,,,,
"₦ 2,500,000","Rivers, Port-Harcourt",Duplex,4 bedrooms,4 bathrooms,anually,,,Newly Built,Furnished,,,600 sqm,Pets Allowed,,,,,5,Yes,,Allowed,Allowed,Yes,
"₦ 2,500,000","Rivers, Port-Harcourt",Duplex,4 bedrooms,5 bathrooms,anually,,,,Furnished,,,,Pets Allowed,,,,Yes,4,Yes,,Allowed,Allowed,Yes,
"₦ 2,600,000","Rivers, Port-Harcourt",Duplex,4 bedrooms,5 bathrooms,anually,,,,,,,,,,,,Yes,4,Yes,Yes,,,,
"₦ 4,500,000","Rivers, Port-Harcourt, Trans Amadi",Duplex,4 bedrooms,4 bathrooms,per annum,Odili Road Trans Amadi In Port-harcourt,,Newly Built,Semi-Furnished,,,,Pets Allowed,,,,,,,,,,,
"₦ 2,000,000","Rivers, Port-Harcourt",Duplex,4 bedrooms,5 bathrooms,anually,,,,,,,,,,,,Yes,4,Yes,Yes,,,,
"₦ 2,500,000","Rivers, Port-Harcourt",Duplex,4 bedrooms,5 bathrooms,anually,,,,Semi-Furnished,,,,Pets Allowed,,,,Yes,4,Yes,,Allowed,Allowed,Yes,
"₦ 2,500,000","Rivers, Port-Harcourt",Duplex,4 bedrooms,5 bathrooms,anually,Peter Odili,,,Furnished,"Hot Water,24 Hours Electricity,Dishwasher",,,Pets Allowed,250,100,150,,4,Yes,,,,,Standard
