price,location,house_type,rooms,bathrooms,rent_duration,PROPERTY ADDRESS,ESTATE NAME,FURNISHING,TOTAL ROOMS,PARKING SPACE,PROPERTY SIZE,CONDITION,PETS,FACILITIES,AGENCY FEE,LEGAL AND AGREEMENT FEE,CAUTION FEE,SERVICE CHARGE,NEW PROPERTY,BROKER FEE,FURNISHED,SMOKING,PARTIES,HOUSING QUALITY
"₦ 12,000,000","Lagos, Ikoyi",Duplex,5 bedrooms,5 bathrooms,per annum,ikoyi off banana rd by olori mojisola,ikoyi by olori mojisola off bananard,Semi-Furnished,,,500 sqm,Newly Built,,"Kitchen Cabinets,Refrigerator,Tiled Floor,Microwave,Pre Paid Meter,Wardrobe,Kitchen Shelf,Apartment,Wi-Fi,Dishwasher,Balcony,Dining Area,Pop Ceiling,Hot Water,Chandelier,Air Conditioning",,,,,,,,,,
"₦ 60,000,000","Abuja, Wuse 2",Duplex,5 bedrooms,5 bathrooms,per annum,wuse2,,Semi-Furnished,,,4000 sqm,Fairly Used,,"Hot Water,Balcony,Microwave,Dining Area,Wardrobe,Pre Paid Meter,Air Conditioning,Tiled Floor,Pop Ceiling,Kitchen Shelf,24 Hours Electricity,Chandelier,Dishwasher,Refrigerator,Kitchen Cabinets",,,,,,,,,,
"₦ 25,000,000","Abuja, Maitama",Duplex,5 bedrooms,5 bathrooms,per annum,Maitama District Abuja,,Unfurnished,,,,,,"Wardrobe,Dining Area,Kitchen Shelf,Kitchen Cabinets,Pop Ceiling,Pre Paid Meter,Tiled Floor,Chandelier,Air Conditioning,Hot Water",,,,,,,,,,
"₦ 2,000,000","Enugu, Enugu / Enugu State",Duplex,5 bedrooms,5 bathrooms,per annum,premium layout back of Goshen estate,premier layout,Semi-Furnished,,,500 sqm,Newly Built,,"Pre Paid Meter,Wardrobe,Hot Water,24 Hours Electricity,Pop Ceiling,Kitchen Cabinets,Balcony,Tiled Floor,TV,Dining Area,Kitchen Shelf",200000,200000,200000,Yes,,,,,,
"₦ 2,000,000","Enugu, Enugu / Enugu State",Duplex,5 bedrooms,5 bathrooms,per annum,golf estate gra,golf estate gra,Semi-Furnished,,,800 sqm,Newly Built,,,250000,200000,100000,Yes,,,,,,
"₦ 5,000,000","Rivers, Port-Harcourt",Duplex,5 bedrooms,5 bathrooms,per annum,G.R.A,G.R.A,Semi-Furnished,,,900 sqm,Fairly Used,,"Kitchen Cabinets,Wardrobe,Dining Area,Dishwasher,Kitchen Shelf,Balcony,Pop Ceiling,Pre Paid Meter,Tiled Floor,Hot Water,Chandelier",,,,,,,,,,
"₦ 4,000,000","Enugu, Enugu / Enugu State",Duplex,5 bedrooms,5 bathrooms,per annum,zoo estate gra,zoo estate gra,Furnished,,,700 sqm,Fairly Used,,"24 Hours Electricity,Dining Area,Kitchen Cabinets,Kitchen Shelf,Pre Paid Meter,Hot Water,Pop Ceiling,Apartment,Balcony,Air Conditioning,Microwave",400000,400000,400000,Yes,,,,,,
"₦ 8,500,000","Lagos, Victoria Island",Duplex,5 bedrooms,5 bathrooms,per annum,"Oniru, Victoria Island",Oniru Estate,Semi-Furnished,,,,,,"Kitchen Shelf,Wardrobe,Dining Area,Hot Water,Chandelier,24 Hours Electricity,Apartment,Microwave,Air Conditioning,Balcony,Pop Ceiling,Pre Paid Meter,Dishwasher,Kitchen Cabinets,Tiled Floor",,,,Yes,,,,,,
"₦ 2,500,000","Enugu, Enugu / Enugu State",Duplex,5 bedrooms,5 bathrooms,per annum,gra enugu,diamond estate,Semi-Furnished,,,500 sqm,Newly Built,,"24 Hours Electricity,Pop Ceiling,Pre Paid Meter,Kitchen Cabinets,Tiled Floor,Balcony,Chandelier,Dining Area",,,,,,,,,,
"₦ 6,500,000","Bayelsa, Yenagoa",Duplex,5 bedrooms,5 bathrooms,per annum,PALM AVENUE ROAD OFF OKAKA ESTATE,PALM AVENUE,Furnished,,,936 sqm,Fairly Used,,"Air Conditioning,Dishwasher,Kitchen Shelf,Chandelier,Wardrobe,Dining Area,TV,Pop Ceiling,Hot Water,Refrigerator,Tiled Floor,Balcony,Kitchen Cabinets",10,5,200000,Yes,,,,,,
"₦ 5,000,000","Lagos, Lekki, Chevron",Duplex,5 bedrooms,5 bathrooms,per annum,Saintly road,Chevy Veiw,Semi-Furnished,,,500 sqm,Fairly Used,Pets Allowed,"Dishwasher,Kitchen Cabinets,Pop Ceiling,Chandelier,Balcony,Kitchen Shelf,Pre Paid Meter,Wardrobe,Dining Area,Hot Water,Tiled Floor,Microwave",,,,,,,,,,
"₦ 2,000,000","Enugu, Enugu / Enugu State",Duplex,5 bedrooms,5 bathrooms,per annum,sharp 4 bedroom duplex for rent at golf estate,Golf estate,Furnished,,,500 sqm,Fairly Used,Pets Allowed,"Dining Area,24 Hours Electricity,Tiled Floor,Pop Ceiling,Chandelier,Hot Water,Wardrobe,Kitchen Cabinets,Pre Paid Meter,Balcony,Kitchen Shelf,Dishwasher",,,,Yes,,,,,,
"₦ 12,000,000","Rivers, Port-Harcourt",Duplex,5 bedrooms,5 bathrooms,anually,OLD GRA,,Furnished,5,Yes,,Newly Built,Pets Allowed,"Hot Water,TV,Dishwasher,Refrigerator,Air Conditioning,Wi-Fi",,,,,,Yes,,Allowed,Allowed,Standard
"₦ 8,500,000","Lagos, Victoria Island",Duplex,5 bedrooms,5 bathrooms,per annum,"Oniru, Victoria Island",Oniru,Semi-Furnished,,,,,,"Chandelier,Pre Paid Meter,Tiled Floor,Microwave,Wardrobe,Balcony,Pop Ceiling,Dishwasher,Kitchen Cabinets,Apartment,Hot Water,Dining Area,Kitchen Shelf",,,,,,,,,,
"₦ 2,000,000","Rivers, Port-Harcourt",Apartment,5 bedrooms,5 bathrooms,anually,,,Furnished,6,Yes,,,Pets Allowed,,,,,,Yes,Yes,,Allowed,Allowed,
"₦ 3,000,000","Rivers, Port-Harcourt",Duplex,5 bedrooms,5 bathrooms,anually,,,,5,Yes,,,,,,,,,Yes,,Yes,,,
"₦ 2,000,000","Enugu, Enugu / Enugu State",Duplex,5 bedrooms,5 bathrooms,per annum,Newly built 5 bedroom duplex for rent at independence layout,Independence layout,Furnished,,,500 sqm,Newly Built,Pets Allowed,"24 Hours Electricity,Pre Paid Meter,Wardrobe,Pop Ceiling,Balcony,Kitchen Cabinets,Dishwasher,Kitchen Shelf,Dining Area,Hot Water,Tiled Floor",10,10,10,Yes,,,,,,
"₦ 5,500,000","Lagos, Lekki, Chevron",Duplex,5 bedrooms,5 bathrooms,per annum,by chevron toll gate,,Semi-Furnished,,,400 sqm,Newly Built,Pets Allowed,,,,,,,,,,,
"₦ 6,000,000","Lagos, Lekki, Lekki Phase 1",Duplex,5 bedrooms,5 bathrooms,per annum,lekki,lekki,Semi-Furnished,,,,Fairly Used,,"Pop Ceiling,Wardrobe,Kitchen Cabinets,Tiled Floor,Dining Area,Pre Paid Meter,Kitchen Shelf,Balcony,Hot Water,Microwave",600000,600000,300000,Yes,,,,,,
"₦ 16,000,000","Lagos, Lekki",Duplex,5 bedrooms,5 bathrooms,per annum,Lekki phase1,lekki phase1,Semi-Furnished,,,,Newly Built,,"Balcony,Hot Water,Dishwasher,Dining Area,Chandelier,Kitchen Cabinets,Kitchen Shelf,Microwave,Pop Ceiling,Pre Paid Meter,Wardrobe",,,,,,,,,,
"₦ 5,000,000","Lagos, Lekki, Ikota",House,5 bedrooms,5 bathrooms,per annum,5bedroom fully detached duplex for rent,,Semi-Furnished,,,,Newly Built,,,,,,,,,,,,
"₦ 3,500,000",none,Townhouse/Terrace,5 bedrooms,5 bathrooms,per annum,Gudu district after eterna filling station,,Semi-Furnished,,,2000 sqm,Fairly Used,Pets Allowed,"Air Conditioning,Balcony,Chandelier,Dining Area,Hot Water,Kitchen Cabinets,Kitchen Shelf,Pop Ceiling,Pre Paid Meter,Tiled Floor,Wardrobe",,,,,,,,,,
"₦ 11,000,000","Abuja, Wuse",Bungalow,5 bedrooms,5 bathrooms,anually,Wuse Zone 5,,Unfurnished,5,Yes,700 sqm,Newly Built,Pets Allowed,,,,,,,Yes,,Not Allowed,Allowed,Standard
"₦ 2,500,000","Enugu, Enugu / Enugu State",Duplex,5 bedrooms,5 bathrooms,per annum,Zoo estate,,Semi-Furnished,,,,Newly Built,,"Air Conditioning,Chandelier,Kitchen Cabinets,Kitchen Shelf,Balcony,Dining Area,Dishwasher,Microwave,Pre Paid Meter,Hot Water",,,,,,,,,,
"₦ 3,000,000","Rivers, Port-Harcourt",Duplex,5 bedrooms,5 bathrooms,anually,Alcon Road,,Unfurnished,,,,Fairly Used,,,,,,,,,,,,
