price,location,house_type,rooms,bathrooms,rent_duration,PROPERTY ADDRESS,ESTATE NAME,FURNISHING,TOTAL ROOMS,PARKING SPACE,PROPERTY SIZE,CONDITION,PETS,FACILITIES,AGENCY FEE,LEGAL AND AGREEMENT FEE,CAUTION FEE,SERVICE CHARGE,NEW PROPERTY,BROKER FEE,FURNISHED,SMOKING,PARTIES,HOUSING QUALITY
"₦ 3,500,000","Rivers, Port-Harcourt",Duplex,5 bedrooms,5 bathrooms,per annum,peter odili,,Unfurnished,,,,Newly Built,Pets Allowed,"Kitchen Cabinets,Pre Paid Meter,Hot Water,Tiled Floor,24 Hours Electricity,Pop Ceiling,Wardrobe,Dining Area,Balcony",350000,,,Yes,,,,,,
"₦ 5,000,000","Rivers, Port-Harcourt",Duplex,5 bedrooms,5 bathrooms,per annum,Port Harcourt,Shell Cooperative,Semi-Furnished,,,900 sqm,Newly Built,Pets Allowed,"Wardrobe,Dining Area,Pre Paid Meter,Hot Water,Balcony,Kitchen Shelf,Tiled Floor,Kitchen Cabinets,24 Hours Electricity,Chandelier",,,,,,,,,,
"₦ 6,000,000","Lagos, Lekki, Ikota",Duplex,5 bedrooms,5 bathrooms,per quarter,Lekki County,Lekki County,Furnished,,,,Newly Built,Pets Allowed,"Apartment,Balcony,Chandelier,Dining Area,Dishwasher,Hot Water,Kitchen Cabinets,Kitchen Shelf,Microwave,Pop Ceiling,Tiled Floor,Wardrobe",,,,,,,,,,
"₦ 12,000,000","Lagos, Ikoyi",House,5 bedrooms,5 bathrooms,per annum,ikoyi,ikoyi,Semi-Furnished,,,600 sqm,Newly Built,Pets Allowed,"Tiled Floor,Air Conditioning,Pre Paid Meter,Dishwasher,Kitchen Shelf,Balcony,Microwave,Chandelier,Kitchen Cabinets,Wardrobe,Refrigerator,Dining Area,Hot Water,Pop Ceiling",,,,,,,,,,
"₦ 20,000,000","Lagos, Lekki",Duplex,5 bedrooms,5 bathrooms,per annum,"Not far from Admiralty Way, Lekki Phase 1.",,Furnished,,,600 sqm,,,,,,,,,,,,,
"₦ 7,000,000","Lagos, Ikeja, Adeniyi Jones",Duplex,5 bedrooms,5 bathrooms,per quarter,Adeniyi jones ikeja,,Semi-Furnished,,,,Newly Built,,"Kitchen Cabinets,Apartment,Dishwasher,Kitchen Shelf,Air Conditioning,Hot Water,Dining Area,Microwave,Refrigerator,TV,24 Hours Electricity,Pre Paid Meter,Wardrobe,Chandelier,Balcony,Pop Ceiling,Tiled Floor,Wi-Fi",,,,,,,,,,
"₦ 4,000,000","Lagos, Ajah, Thomas Estate",Duplex,5 bedrooms,5 bathrooms,per quarter,inside Thomas estate Ajah,Thomas estate,Furnished,,,350 sqm,Newly Built,No Pets,"Pre Paid Meter,Kitchen Shelf,Chandelier,Microwave,Air Conditioning,Tiled Floor,Balcony,Dining Area,Wardrobe,Kitchen Cabinets,Pop Ceiling",400000,400000,200000,Yes,,,,,,
"₦ 6,000,000","Lagos, Lekki",Duplex,5 bedrooms,5 bathrooms,per annum,Chevron drive,chevron drive,Semi-Furnished,,,,Newly Built,,"Balcony,Chandelier,Dining Area,Dishwasher,Hot Water,Kitchen Cabinets,Kitchen Shelf,Microwave,Pop Ceiling,Pre Paid Meter,TV,Wardrobe",,,,,,,,,,
"₦ 6,500,000","Lagos, Lekki, Lekki Phase 2",Duplex,5 bedrooms,4 bathrooms,per annum,Gbenga Ademulegun Close,Chevy View Estate,Semi-Furnished,,,,Newly Built,,"Wardrobe,Pre Paid Meter,Balcony,Tiled Floor,Chandelier,Dishwasher,Dining Area,Kitchen Shelf,Hot Water,Kitchen Cabinets,Pop Ceiling",,,,,,,,,,
"₦ 7,000,000","Lagos, Lekki",Duplex,5 bedrooms,5 bathrooms,per annum,Chevron Lekki Lagos,,Unfurnished,,,400 sqm,Newly Built,Pets Allowed,"Dishwasher,Hot Water,Microwave,Pop Ceiling,Balcony,Kitchen Shelf,Dining Area,Wardrobe,Chandelier,Kitchen Cabinets,Tiled Floor,Pre Paid Meter",,,,,,,,,,
"₦ 5,000,000","Lagos, Lekki",Duplex,5 bedrooms,5 bathrooms,per annum,ologolo,ologolo estate,Unfurnished,,,600 sqm,Fairly Used,,,,,,,,,,,,
"₦ 5,000,000","Lagos, Lekki",Duplex,5 bedrooms,5 bathrooms,per annum,"Chevron drive, Lekki",Northern foreshore estate,Semi-Furnished,,,,,,"Dining Area,Pre Paid Meter,Chandelier,Hot Water,Pop Ceiling,Dishwasher,Apartment,Microwave,Tiled Floor,Balcony,Kitchen Cabinets,Wardrobe,Kitchen Shelf",,,,Yes,,,,,,
"₦ 2,000,000","Rivers, Port-Harcourt",Duplex,5 bedrooms,5 bathrooms,anually,,,Furnished,6,Yes,,,Pets Allowed,,,,,,No,Yes,,Allowed,Allowed,
